Date,Team 1 (Favorite),Team 2 (Underdog),,Team 1 Expected Runs,Team 1 Outcome,Team 2 Expected Runs,Team 2 Outcome,,Team 1 Implied Odds,Team 2 Implied Odds,,Team 1 Best Vegas Odds,Team 2 Best Vegas Odds,,Team 1 Arbitrage Value,Team 2 Arbitrage Value,,Favored Bets,Favored Bets,,Did Favored Bet Win?,Profit (in units),,
7/24/2024,Braves,Reds,,5.79,4,4.86,9,,-119.14,119.14,,-124,115,,-4.86,-4.14,,,,,,,,
7/24/2024,Pirates,Cardinals,,4.4,5,4.19,0,,-105.01,105.01,,-103,-110,,2.01,-215.01,,,,,,,,
7/24/2024,Twins,Phillies,,6.42,5,5.05,4,,-127.13,127.13,,120,-130,,247.13,-257.13,,120,,,Yes,1.2,,
7/24/2024,Red Sox,Rockies,,5.79,7,5.32,20,,-108.83,108.83,,-143,125,,-34.17,16.17,,,125,,Yes,1.25,,
7/24/2024,Astros,Athletics,,3.33,8,3.32,1,,-100.30,100.30,,-164,135,,-63.70,34.70,,,135,,No,-1,,
7/24/2024,Mariners,Angels,,2.91,1,2.6,2,,-111.92,111.92,,-160,145,,-48.08,33.08,,,145,,Yes,1.45,,
7/24/2024,Mets,Yankees,,4.84,12,4.33,3,,-111.78,111.78,,150,-167,,261.78,-278.78,,150,,,Yes,1.5,,
7/24/2024,Rays,Blue Jays,,4.91,3,4.45,6,,-110.34,110.34,,-117,102,,-6.66,-8.34,,,,,,,,
7/24/2024,Rangers,White Sox,,5.54,10,2.57,2,,-215.56,215.56,,-270,220,,-54.44,4.44,,,,,,,,
7/24/2024,Royals,Diamondbacks,,4.4,6,4.07,8,,-108.11,108.11,,-115,112,,-6.89,3.89,,,,,,,,
7/24/2024,Dodgers,Giants,,5.85,3,4.47,8,,-130.87,130.87,,-188,170,,-57.13,39.13,,,170,,Yes,1.7,,
,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2024,Padres,Nationals,,7.2,3,5.03,0,,-143.14,143.14,,-155,140,,-11.86,-3.14,,,,,,,,
7/25/2024,Orioles,Marlins,,6.57,7,4.07,6,,-161.43,161.43,,-205,188,,-43.57,26.57,,,188,,No,-1,,
7/25/2024,Guardians,Tigers,,4.48,0,4.17,3,,-107.43,107.43,,-145,135,,-37.57,27.57,,,135,,Yes,1.35,,
