,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart
0,1,Jul 24,False,PHI,"W,5-2",38,34,5,9,2,0,1,4,3,0,9,0,0,1,0,0,1,1,0.265,0.316,0.412,0.728,6,10,R,A.Nola(48)
1,2,Jul 25,False,PHI,"L,1-7",32,29,1,6,1,0,0,1,3,0,7,0,0,0,0,4,0,0,0.238,0.3,0.333,0.633,4,9,R,Z.Wheeler(65)
2,3,Jul 26,False,PHI,"W,11-6",44,38,11,12,1,2,4,11,4,0,8,2,0,0,1,0,0,0,0.267,0.342,0.495,0.837,6,9,R,V.Velasquez(39)
3,4,Aug 4,False,BAL,"W,4-0",35,33,4,6,1,0,2,3,2,0,6,0,0,0,0,1,1,0,0.246,0.315,0.47,0.786,4,10,L,J.Means(60)
4,5,Aug 5 (1),False,BAL,"W,1-0",29,25,1,2,0,0,1,1,4,0,11,0,0,0,2,0,0,0,0.22,0.298,0.428,0.725,7,10,R,A.Cobb(63)
5,6,Aug 5 (2),False,BAL,"W,2-1",23,21,2,4,1,0,0,2,1,0,4,0,0,1,0,0,1,0,0.217,0.289,0.406,0.694,3,10,R,A.Wojciechowski(54)
6,7,Aug 6,False,BAL,"W,8-7",38,33,8,11,2,1,1,7,1,0,6,2,0,2,0,0,2,0,0.235,0.301,0.427,0.728,6,10,L,W.LeBlanc(22)
7,8,Aug 7,False,NYM,"W,4-3",37,33,4,7,3,0,1,4,4,0,16,0,0,0,0,0,1,1,0.232,0.301,0.423,0.723,6,10,R,M.Wacha(46)
8,9,Aug 8,False,NYM,"L,4-8",40,33,4,8,0,0,1,4,7,0,9,0,0,0,0,2,0,0,0.233,0.31,0.412,0.722,9,10,L,D.Peterson(51)
9,10,Aug 9,False,NYM,"L,2-4",39,35,2,9,1,0,1,2,4,0,12,0,0,0,1,2,2,0,0.236,0.313,0.408,0.72,10,9,R,J.deGrom(49)
10,11,Aug 11,False,TOR,"L,4-5",38,34,4,4,1,0,2,4,4,1,9,0,0,0,1,1,1,0,0.224,0.303,0.399,0.702,5,10,L,H.Ryu(69)
11,12,Aug 12,False,TOR,"W,14-11",50,43,14,14,0,0,1,11,6,0,13,0,1,0,2,0,4,0,0.235,0.314,0.399,0.713,7,12,R,N.Pearson(22)
12,13,Aug 14,True,ATL,"W,8-2",42,32,8,10,2,0,0,7,8,0,5,0,1,1,1,1,4,0,0.241,0.325,0.397,0.722,10,10,R,K.Wright(38)
13,14,Aug 15,True,ATL,"L,1-2",34,31,1,6,2,0,1,1,3,0,10,0,0,0,1,1,1,1,0.238,0.321,0.394,0.715,6,12,L,M.Fried(69)
14,15,Aug 16,True,ATL,"L,0-4",28,27,0,2,0,0,0,0,1,0,11,0,0,0,0,2,1,0,0.229,0.31,0.376,0.686,1,10,L,R.Erlin(65)
15,16,Aug 17,True,NYM,"L,4-11",46,38,4,11,2,0,1,4,7,0,11,1,0,0,0,0,1,0,0.233,0.318,0.38,0.698,15,12,R,R.Gsellman(44)
16,17,Aug 18,True,NYM,"L,3-8",38,37,3,11,3,0,0,3,0,0,10,1,0,0,0,0,1,0,0.237,0.318,0.379,0.697,8,10,R,C.Oswalt(49)
17,18,Aug 19,True,NYM,"L,3-5",39,35,3,7,0,0,0,2,3,0,12,1,0,0,1,0,0,0,0.235,0.316,0.369,0.685,9,11,R,J.deGrom(71)
18,19,Aug 21,False,WSN,"W,3-2",38,35,3,9,2,0,1,3,3,0,14,0,0,0,0,0,0,1,0.236,0.316,0.371,0.686,8,9,L,P.Corbin(52)
19,20,Aug 22 (1),False,WSN,"L,4-5",31,28,4,7,1,0,1,4,2,0,8,1,0,0,0,0,1,0,0.237,0.316,0.372,0.688,6,9,R,M.Scherzer(37)
20,21,Aug 22 (2),False,WSN,"W,5-3",31,26,5,8,0,0,1,4,4,0,4,0,0,1,1,0,0,1,0.24,0.319,0.374,0.693,8,11,R,W.Crowe(37)
21,22,Aug 23,False,WSN,"L,3-9",34,34,3,9,1,0,1,3,0,0,8,0,0,0,0,2,0,0,0.241,0.317,0.374,0.691,4,12,R,A.Sánchez(68)
22,23,Aug 24,False,WSN,"W,11-8",50,43,11,17,2,0,1,11,6,0,9,1,0,0,0,1,1,0,0.25,0.326,0.382,0.708,12,9,R,A.Voth(25)
23,24,Aug 25 (1),False,NYM,"W,4-0",29,27,4,6,2,0,0,4,1,0,7,1,0,0,0,0,1,0,0.249,0.325,0.379,0.703,4,10,R,R.Porcello(37)
24,25,Aug 25 (2),False,NYM,"W,3-0",23,20,3,2,1,0,0,2,2,0,6,1,0,0,0,0,3,0,0.245,0.322,0.373,0.695,2,11,R,S.Lugo(64)
25,26,Aug 26,False,NYM,"L,4-5",36,31,4,6,1,0,0,4,5,0,16,0,0,0,0,1,0,1,0.243,0.321,0.368,0.689,5,11,R,J.deGrom(81)
26,27,Aug 28,True,TBR,"L,0-2",33,31,0,5,2,0,0,0,1,0,7,1,0,0,0,0,0,1,0.24,0.318,0.363,0.68,6,10,L,R.Yarbrough(71)
27,28,Aug 29,True,TBR,"L,0-4",30,29,0,3,1,0,0,0,1,0,11,0,0,0,0,0,0,1,0.236,0.312,0.355,0.667,3,9,L,J.Fleming(68)
28,29,Aug 30,True,TBR,"L,7-12",40,34,7,9,2,0,3,7,5,0,8,1,0,0,0,1,0,1,0.237,0.314,0.364,0.678,6,10,L,B.Snell(54)
29,30,Aug 31,False,NYM,"W,5-3",38,35,5,8,2,0,2,5,3,0,13,0,0,0,1,0,4,1,0.237,0.314,0.367,0.681,6,11,R,J.deGrom(57)
30,31,Sep 1,True,TOR,"W,3-2",32,30,3,7,3,0,2,3,2,0,10,0,0,0,1,1,0,1,0.236,0.313,0.372,0.685,5,11,R,J.Merryweather(58)
31,32,Sep 2,True,TOR,"L,1-2",37,33,1,6,1,0,0,1,3,0,9,1,0,0,0,1,0,0,0.235,0.311,0.367,0.678,9,11,L,H.Ryu(64)
32,33,Sep 4,False,TBR,"L,4-5",37,35,4,8,2,0,2,4,2,0,8,0,0,0,0,1,0,0,0.234,0.31,0.37,0.68,6,11,L,J.Fleming(39)
33,34,Sep 5,False,TBR,"W,7-3",40,35,7,8,2,0,1,5,5,0,10,0,0,0,0,0,0,0,0.234,0.311,0.37,0.681,6,10,L,B.Snell(42)
34,35,Sep 6,False,TBR,"L,4-5",41,36,4,8,1,1,1,4,5,0,12,0,0,0,0,1,1,2,0.234,0.311,0.371,0.681,8,14,R,T.Glasnow(54)
35,36,Sep 7,False,ATL,"W,5-4",47,39,5,9,3,0,0,5,7,2,7,0,1,0,1,0,0,0,0.234,0.312,0.369,0.681,13,13,R,I.Anderson(49)
36,37,Sep 8,False,ATL,"W,8-0",43,39,8,13,1,0,3,7,3,0,9,1,0,0,0,2,2,0,0.237,0.315,0.376,0.69,8,11,R,K.Wright(30)
37,38,Sep 9,False,ATL,"L,9-29",43,38,9,13,3,1,2,9,4,0,7,0,0,1,0,1,0,0,0.24,0.317,0.384,0.701,7,10,L,T.Milone(14)
38,39,Sep 10,True,PHI,"W,7-6",45,36,7,11,3,0,0,7,8,1,6,0,0,1,0,0,2,0,0.242,0.32,0.384,0.704,12,10,R,J.Arrieta(46)
39,40,Sep 11 (1),True,PHI,"L,0-11",25,23,0,3,0,0,0,0,0,0,10,2,0,0,0,1,1,0,0.24,0.318,0.379,0.698,4,12,R,A.Nola(81)
